1/3,90s,A-xA,Aerial Duels_Lost,Aerial Duels_Won,Aerial Duels_Won%,Age,Ast,Att,Blocks_Blocks,Blocks_Pass,Blocks_Sh,Blocks_ShSv,Body Parts_Head,Body Parts_Left,Body Parts_Other,Body Parts_Right,Body Parts_TI,Carries_Carries,Carries_PrgDist,Carries_TotDist,Clr,Comp,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Country,CrsPA,Dispos,Dribbles_#Pl,Dribbles_Att,Dribbles_Megs,Dribbles_Succ,Dribbles_Succ%,Err,Expected_G-xG,Expected_np:G-xG,Expected_npxG,Expected_npxG/Sh,Expected_xA,Expected_xG,GCA Types_Def,GCA Types_Drib,GCA Types_Fld,GCA Types_OG,GCA Types_PassDead,GCA Types_PassLive,GCA Types_Sh,GCA_GCA,GCA_GCA90,Height_Ground,Height_High,Height_Low,ID,Int,KP,LgRank,Long_Att,Long_Cmp,Long_Cmp%,Matches,Medium_Att,Medium_Cmp,Medium_Cmp%,Miscon,Outcomes_Blocks,Outcomes_Cmp,Outcomes_Int,Outcomes_Off,Outcomes_Out,PPA,Pass Types_CK,Pass Types_Crs,Pass Types_Dead,Pass Types_FK,Pass Types_Live,Pass Types_Press,Pass Types_Sw,Pass Types_TB,Penalty Kicks_PKA,Penalty Kicks_PKatt,Penalty Kicks_PKm,Penalty Kicks_PKsv,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G+A-PK,Per 90 Minutes_G-PK,Per 90 Minutes_Gls,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,Per 90 Minutes_xA,Per 90 Minutes_xG,Per 90 Minutes_xG+xA,Performance_2CrdY,Performance_Ast,Performance_CS,Performance_CS%,Performance_CrdR,Performance_CrdY,Performance_Crs,Performance_D,Performance_Fld,Performance_Fls,Performance_GA,Performance_GA90,Performance_Gls,Performance_Int,Performance_L,Performance_OG,Performance_Off,Performance_PK,Performance_PKatt,Performance_PKcon,Performance_PKwon,Performance_Recov,Performance_Save%,Performance_Saves,Performance_SoTA,Performance_TklW,Performance_W,Playing Time_90s,Playing Time_MP,Playing Time_Min,Playing Time_Min%,Playing Time_Mn/MP,Playing Time_Starts,Pressures_%,Pressures_Att 3rd,Pressures_Def 3rd,Pressures_Mid 3rd,Pressures_Press,Pressures_Succ,Prog,Receiving_Rec,Receiving_Rec%,Receiving_Targ,SCA Types_Def,SCA Types_Drib,SCA Types_Fld,SCA Types_PassDead,SCA Types_PassLive,SCA Types_Sh,SCA_SCA,SCA_SCA90,Season,Short_Att,Short_Cmp,Short_Cmp%,Squad,Standard_Dist,Standard_FK,Standard_G/Sh,Standard_G/SoT,Standard_Gls,Standard_PK,Standard_PKatt,Standard_Sh,Standard_Sh/90,Standard_SoT,Standard_SoT%,Standard_SoT/90,Starts_Compl,Starts_Mn/Start,Starts_Starts,Subs_Mn/Sub,Subs_Subs,Subs_unSub,Tackles_Att 3rd,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Tkl,Tackles_TklW,Team Success (xG)_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success_PPM,Team Success_onG,Team Success_onGA,Tkl+Int,Total_Att,Total_Cmp,Total_Cmp%,Total_PrgDist,Total_TotDist,Touches_Att 3rd,Touches_Att Pen,Touches_Def 3rd,Touches_Def Pen,Touches_Live,Touches_Mid 3rd,Touches_Touches,Vs Dribbles_Att,Vs Dribbles_Past,Vs Dribbles_Tkl,Vs Dribbles_Tkl%,age,birth_date,height,name,position,weight,xA,MP_Pct,Performance_CrdY90,CrdY_Pct,Aerial Duels_Won90,Aerial Duels_Won_Pct,Aerial Duels_Won%_Pct,Tackles_TklW90,TklW90_Pct,Dribbles_Tkl%_Pct,Blocks_Blocks90,Blocks90_Pct,Passing%_Pct,Pass Types_TB90,TB90_Pct,Pass Types_Sw90,Sw90_Pct,Pass Types_Crs90,Crs90_Pct,Dribbles_Succ%_Pct,Dispos90,Dispos90_Pct,SCA90_Pct,GCA90_Pct,Ast90_Pct,Gls90_Pct
63.0,16.0,-0.5,13.0,15.0,53.6,25,0.0,686.0,16.0,10.0,6.0,0.0,28.0,199.0,3.0,434.0,9.0,543.0,1165.0,2458.0,20.0,1. MLS,0.0,0.0,0.0,us USA,1.0,7.0,6.0,11.0,0.0,6.0,54.5,0.0,-0.4,-0.4,0.4,0.06,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0,120.0,97.0,2019_Caleb Stanko_FC Cincinnati,12.0,8.0,24th,129.0,107.0,82.9,Matches,278.0,240.0,86.3,17.0,12.0,587.0,14.0,1.0,10.0,5.0,0.0,5.0,31.0,21.0,655.0,104.0,47.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.03,0.02,0.05,0.0,0.0,,,0.0,3.0,5.0,,19.0,26.0,,,0.0,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,143.0,,,,24.0,,16.0,23.0,1439.0,47.0,63.0,16.0,27.1,17.0,105.0,166.0,288.0,78.0,61.0,536.0,91.2,588.0,1.0,0.0,0.0,0.0,16.0,2.0,19.0,1.19,2019,269.0,239.0,88.8,FC Cincinnati,27.2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.38,2.0,33.3,0.13,10.0,84.0,16.0,14.0,7.0,6.0,1.0,16.0,16.0,33.0,24.0,-0.42,14.7,30.6,-15.9,-0.99,-30.0,-1.88,-1.1,0.39,12.0,42.0,45.0,686.0,587.0,85.6,3234.0,12263.0,91.0,7.0,228.0,27.0,774.0,522.0,800.0,36.0,24.0,12.0,33.3,27.0,1993-07-26 00:00:00,180cm,Caleb Stanko,MF,,0.5,0.6977211796246648,0.1875,0.6158536585365854,0.9375,0.47538200339558573,0.6269565217391304,1.5,0.7622950819672131,0.5422535211267606,1.0,0.28098471986417656,0.7639123102866779,0.0,0.22874149659863946,2.9375,0.923469387755102,0.3125,0.3198630136986301,0.2933212996389892,0.4375,0.24108658743633277,0.32521008403361346,0.1495798319327731,0.24629878869448182,0.2479892761394102
7.0,1.0,0.0,0.0,0.0,,19,0.0,71.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,56.0,11.0,60.0,205.0,326.0,0.0,1. MLS,0.0,0.0,0.0,us USA,0.0,1.0,1.0,2.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,6.0,17.0,2019_Shaft Brewer_Los Angeles FC,2.0,0.0,1st,8.0,7.0,87.5,Matches,35.0,33.0,94.3,4.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,2.0,58.0,12.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,,,0.0,0.0,1.0,,1.0,2.0,,,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,,,0.0,,1.0,1.0,90.0,2.9,90.0,1.0,23.5,4.0,8.0,5.0,17.0,4.0,4.0,55.0,91.7,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,26.0,23.0,88.5,Los Angeles FC,32.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,90.0,1.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.22,0.9,0.9,0.0,0.01,-1.0,-1.0,-2.48,0.0,0.0,1.0,2.0,71.0,63.0,88.7,396.0,1217.0,20.0,0.0,24.0,1.0,71.0,45.0,84.0,3.0,3.0,0.0,0.0,21.0,1999-10-28 00:00:00,,Shaft Brewer,FW,,0.0,0.036193029490616625,0.0,0.15853658536585366,0.0,0.0432937181663837,,0.0,0.0389344262295082,0.056338028169014086,2.0,0.8073005093378608,0.9055649241146712,0.0,0.22874149659863946,2.0,0.8086734693877551,1.0,0.536986301369863,0.20487364620938628,1.0,0.4592529711375212,0.03529411764705882,0.1495798319327731,0.24629878869448182,0.2479892761394102
16.0,15.7,-1.5,27.0,3.0,10.0,24,1.0,300.0,7.0,5.0,2.0,0.0,21.0,54.0,6.0,213.0,4.0,331.0,1315.0,2440.0,0.0,1. MLS,0.0,0.0,0.0,us USA,0.0,19.0,21.0,34.0,2.0,19.0,55.9,0.0,2.6,2.6,8.4,0.13,2.5,8.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.13,197.0,50.0,53.0,2019_Brian Fernández_Portland,1.0,23.0,11th,34.0,21.0,61.8,Matches,127.0,105.0,82.7,39.0,7.0,237.0,6.0,0.0,3.0,7.0,0.0,14.0,24.0,1.0,276.0,53.0,4.0,2.0,,,,,0.06,0.77,0.77,0.7,0.7,0.53,0.7,0.16,0.53,0.7,0.0,1.0,,,1.0,4.0,14.0,,7.0,23.0,,,11.0,1.0,,0.0,17.0,0.0,0.0,0.0,0.0,52.0,,,,6.0,,15.7,19.0,1409.0,46.0,74.0,16.0,22.0,150.0,5.0,113.0,268.0,59.0,23.0,364.0,52.2,697.0,2.0,4.0,0.0,0.0,29.0,6.0,41.0,2.62,2019,124.0,102.0,82.3,Portland,15.5,0.0,0.17,0.37,11.0,0.0,0.0,65.0,4.15,30.0,46.2,1.92,11.0,83.0,16.0,25.0,3.0,0.0,2.0,1.0,3.0,6.0,6.0,0.35,26.3,24.9,1.4,0.09,9.0,0.57,0.9,1.68,26.0,17.0,7.0,300.0,237.0,79.0,736.0,4119.0,305.0,104.0,18.0,1.0,441.0,176.0,464.0,12.0,12.0,0.0,0.0,26.0,1994-09-26 00:00:00,168cm,Brian Fernández,FW-MF,72kg,2.5,0.6072386058981233,0.25477707006369427,0.7588075880758808,0.1910828025477707,0.11205432937181664,0.07391304347826087,0.3821656050955414,0.13934426229508196,0.056338028169014086,0.445859872611465,0.09168081494057725,0.4300168634064081,0.12738853503184713,0.7091836734693877,0.25477707006369427,0.1377551020408163,0.89171974522293,0.4904109589041096,0.3303249097472924,1.2101910828025477,0.5611205432937182,0.7100840336134454,0.43529411764705883,0.5672947510094213,0.9671581769436998
23.0,19.7,0.4,35.0,18.0,34.0,24,3.0,515.0,29.0,29.0,0.0,0.0,23.0,69.0,2.0,377.0,33.0,602.0,3494.0,5924.0,20.0,1. MLS,0.0,1.0,0.0,us USA,8.0,40.0,46.0,73.0,0.0,44.0,60.3,0.0,-1.8,-1.8,3.8,0.08,2.6,3.8,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,0.31,279.0,125.0,111.0,2019_Sam Nicholson_Colorado,14.0,23.0,16th,61.0,26.0,42.6,Matches,180.0,129.0,71.7,45.0,41.0,356.0,13.0,2.0,13.0,18.0,1.0,62.0,38.0,3.0,477.0,103.0,16.0,2.0,,,,,0.15,0.25,0.25,0.1,0.1,0.19,0.33,0.13,0.19,0.33,0.0,3.0,,,0.0,2.0,62.0,,51.0,29.0,,,2.0,14.0,,0.0,7.0,0.0,0.0,0.0,2.0,105.0,,,,13.0,,19.7,27.0,1770.0,57.8,66.0,19.0,21.2,104.0,111.0,157.0,372.0,79.0,35.0,553.0,68.4,809.0,1.0,8.0,9.0,1.0,32.0,3.0,54.0,2.75,2019,243.0,194.0,79.8,Colorado,19.7,0.0,0.04,0.13,2.0,0.0,0.0,45.0,2.29,15.0,33.3,0.76,12.0,84.0,19.0,23.0,8.0,0.0,3.0,12.0,7.0,22.0,13.0,0.43,32.6,32.4,0.2,0.01,3.0,0.15,0.71,1.3,34.0,31.0,36.0,515.0,356.0,69.1,1753.0,5681.0,428.0,68.0,124.0,21.0,752.0,316.0,787.0,34.0,30.0,4.0,11.8,25.0,1995-01-20 00:00:00,175cm,Sam Nicholson,FW-MF (WM),,2.6,0.8009383378016086,0.10152284263959391,0.43224932249322495,0.9137055837563453,0.4617996604414261,0.3217391304347826,0.6598984771573604,0.273224043715847,0.13732394366197184,1.4720812182741116,0.5789473684210527,0.10202360876897133,0.10152284263959391,0.6547619047619048,0.8121827411167513,0.3877551020408163,3.1472081218274113,0.915068493150685,0.4395306859205776,2.030456852791878,0.7877758913412564,0.7411764705882353,0.6932773109243697,0.753028263795424,0.6266756032171582
54.0,24.0,-0.1,26.0,36.0,58.1,26,0.0,1358.0,33.0,26.0,7.0,1.0,38.0,1062.0,4.0,220.0,20.0,1066.0,2850.0,5412.0,133.0,1. MLS,0.0,0.0,0.0,us USA,0.0,8.0,4.0,5.0,0.0,4.0,80.0,0.0,-0.8,-0.8,0.8,0.05,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.0,205.0,108.0,2019_Alexander Callens_NYCFC,22.0,2.0,2nd,285.0,198.0,69.5,Matches,612.0,560.0,91.5,5.0,22.0,1174.0,8.0,5.0,24.0,0.0,1.0,3.0,70.0,49.0,1288.0,136.0,35.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.01,0.03,0.04,0.0,0.0,,,0.0,3.0,3.0,,31.0,25.0,,,0.0,22.0,,0.0,1.0,0.0,0.0,2.0,0.0,238.0,,,,32.0,,24.0,24.0,2160.0,70.6,90.0,24.0,36.2,11.0,175.0,82.0,268.0,97.0,54.0,1065.0,98.2,1085.0,1.0,1.0,0.0,0.0,8.0,3.0,13.0,0.57,2019,434.0,406.0,93.5,NYCFC,16.7,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.67,1.0,6.3,0.04,24.0,90.0,24.0,,0.0,0.0,0.0,43.0,13.0,56.0,32.0,-0.3,34.7,31.8,2.9,0.13,12.0,0.5,-0.4,1.84,40.0,28.0,78.0,1358.0,1174.0,86.5,9427.0,24298.0,79.0,20.0,989.0,172.0,1568.0,669.0,1630.0,44.0,19.0,25.0,56.8,28.0,1992-05-04 00:00:00,186cm,Alexander Callens,"DF (CB, left)",76kg,0.1,0.7211796246648794,0.125,0.47696476964769646,1.5,0.6850594227504244,0.7286956521739131,1.3333333333333333,0.6980874316939891,0.9119718309859155,1.375,0.5110356536502547,0.806070826306914,0.0,0.22874149659863946,1.4583333333333333,0.6751700680272109,0.125,0.21027397260273972,0.825812274368231,0.3333333333333333,0.19864176570458403,0.18235294117647058,0.1495798319327731,0.24629878869448182,0.2479892761394102
132.0,31.1,-0.6,48.0,11.0,18.6,28,7.0,1799.0,26.0,23.0,3.0,0.0,39.0,1377.0,12.0,331.0,31.0,1591.0,4644.0,9468.0,26.0,1. MLS,20.0,30.0,10.0,us USA,15.0,36.0,29.0,45.0,1.0,28.0,62.2,1.0,0.3,0.1,4.9,0.06,7.6,5.7,0.0,0.0,0.0,0.0,0.0,13.0,1.0,14.0,0.45,1251.0,299.0,249.0,2019_Magnus Eriksson_San Jose,18.0,94.0,15th,345.0,205.0,59.4,Matches,653.0,533.0,81.6,59.0,53.0,1410.0,34.0,8.0,39.0,74.0,93.0,90.0,191.0,58.0,1608.0,296.0,81.0,15.0,,,,,0.22,0.42,0.39,0.16,0.19,0.16,0.4,0.24,0.18,0.43,0.0,7.0,,,0.0,5.0,90.0,,68.0,35.0,,,6.0,18.0,,0.0,3.0,1.0,1.0,0.0,0.0,229.0,,,,17.0,,31.1,32.0,2802.0,91.6,88.0,32.0,27.0,125.0,55.0,246.0,426.0,115.0,187.0,1605.0,83.9,1913.0,3.0,8.0,3.0,31.0,128.0,9.0,182.0,5.85,2019,734.0,646.0,88.0,San Jose,21.6,6.0,0.06,0.24,6.0,1.0,1.0,86.0,2.76,21.0,24.4,0.67,27.0,88.0,32.0,,0.0,1.0,8.0,7.0,12.0,27.0,17.0,-0.18,46.7,42.8,3.9,0.13,0.0,0.0,1.05,1.34,50.0,50.0,45.0,1799.0,1410.0,78.4,7347.0,26150.0,1067.0,109.0,182.0,35.0,1953.0,1044.0,2137.0,46.0,37.0,9.0,19.6,30.0,1990-04-08 00:00:00,180cm,Magnus Eriksson,FW-MF,80kg,7.6,0.9524128686327078,0.1607717041800643,0.556910569105691,0.35369774919614144,0.18845500848896435,0.13043478260869565,0.5466237942122186,0.21584699453551912,0.22887323943661972,0.8360128617363344,0.2071307300509338,0.3954468802698145,0.4823151125401929,0.9540816326530612,2.6045016077170415,0.891156462585034,2.8938906752411575,0.8835616438356164,0.47833935018050544,1.157556270096463,0.5466893039049237,0.9823529411764705,0.8302521008403362,0.851278600269179,0.7265415549597856
17.0,5.6,0.7,6.0,7.0,53.8,21,1.0,230.0,1.0,1.0,0.0,0.0,8.0,49.0,1.0,133.0,32.0,167.0,563.0,917.0,12.0,1. MLS,0.0,0.0,0.0,us USA,0.0,3.0,3.0,4.0,0.0,3.0,75.0,0.0,0.0,0.0,0.0,0.03,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.21,124.0,75.0,31.0,2019_Jeremiah Gutjahr_Chicago,4.0,4.0,17th,46.0,17.0,37.0,Matches,87.0,70.0,80.5,1.0,8.0,167.0,3.0,2.0,6.0,2.0,0.0,7.0,32.0,0.0,198.0,42.0,2.0,2.0,,,,,0.18,0.18,0.18,0.0,0.0,0.01,0.08,0.07,0.01,0.08,0.0,1.0,,,0.0,1.0,7.0,,5.0,3.0,,,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,36.0,,,,6.0,,5.6,8.0,503.0,16.4,63.0,5.0,36.4,10.0,31.0,25.0,66.0,24.0,21.0,165.0,93.2,177.0,0.0,0.0,0.0,1.0,5.0,0.0,6.0,1.24,2019,90.0,79.0,87.8,Chicago,29.4,0.0,0.0,,0.0,0.0,0.0,1.0,0.18,0.0,0.0,0.0,4.0,86.0,5.0,24.0,3.0,11.0,1.0,0.0,4.0,5.0,6.0,0.9,9.4,4.5,4.9,1.02,2.0,0.36,0.15,1.5,9.0,7.0,9.0,230.0,167.0,72.6,1197.0,2949.0,81.0,6.0,68.0,12.0,229.0,130.0,261.0,8.0,6.0,2.0,25.0,23.0,1997-08-10 00:00:00,177cm,Jeremiah Gutjahr,MF,73kg,0.3,0.306970509383378,0.17857142857142858,0.5975609756097561,1.25,0.599320882852292,0.6330434782608696,1.0714285714285714,0.5389344262295082,0.3529929577464789,0.17857142857142858,0.05602716468590832,0.17622259696458684,0.35714285714285715,0.91921768707483,0.35714285714285715,0.18622448979591838,1.25,0.5952054794520548,0.7770758122743683,0.5357142857142857,0.2767402376910017,0.33949579831932775,0.561344537815126,0.797442799461642,0.2479892761394102
86.0,15.3,2.3,19.0,28.0,59.6,22,4.0,1000.0,27.0,17.0,10.0,1.0,28.0,197.0,3.0,707.0,51.0,759.0,2089.0,3463.0,64.0,1. MLS,0.0,0.0,0.0,us USA,1.0,6.0,16.0,23.0,0.0,15.0,65.2,0.0,0.3,0.3,0.7,0.08,1.7,0.7,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.33,766.0,81.0,153.0,2019_Tristan Blackmon_Los Angeles FC,19.0,14.0,1st,115.0,83.0,72.2,Matches,493.0,461.0,93.5,9.0,19.0,892.0,13.0,1.0,13.0,8.0,1.0,14.0,75.0,23.0,925.0,115.0,14.0,1.0,,,,,0.26,0.33,0.33,0.07,0.07,0.05,0.16,0.11,0.05,0.16,0.0,4.0,,,0.0,3.0,14.0,,5.0,8.0,,,1.0,19.0,,0.0,0.0,0.0,0.0,0.0,0.0,190.0,,,,19.0,,15.3,18.0,1378.0,45.0,77.0,15.0,38.8,21.0,74.0,52.0,147.0,57.0,82.0,753.0,97.7,771.0,2.0,1.0,1.0,1.0,22.0,2.0,29.0,1.89,2019,368.0,338.0,91.8,Los Angeles FC,15.3,0.0,0.11,0.5,1.0,0.0,0.0,9.0,0.59,2.0,22.2,0.13,13.0,86.0,15.0,31.0,3.0,3.0,7.0,10.0,9.0,26.0,19.0,-0.79,33.3,21.5,11.8,0.77,23.0,1.5,0.16,1.9,44.0,21.0,45.0,1000.0,892.0,89.2,6586.0,16508.0,215.0,29.0,441.0,81.0,1084.0,574.0,1157.0,19.0,11.0,8.0,42.1,24.0,1996-08-12 00:00:00,,Tristan Blackmon,DF,,1.7,0.5844504021447721,0.19607843137254902,0.6422764227642277,1.8300653594771241,0.7589134125636672,0.7521739130434782,1.2418300653594772,0.6489071038251366,0.7288732394366197,1.7647058823529411,0.7207130730050934,0.924114671163575,0.06535947712418301,0.5459183673469388,0.9150326797385621,0.4421768707482993,0.9150326797385621,0.5027397260273972,0.5731046931407943,0.39215686274509803,0.22241086587436332,0.5134453781512605,0.7210084033613445,0.8896366083445492,0.5837801608579088
108.0,24.4,0.0,41.0,8.0,16.3,31,5.0,921.0,25.0,20.0,5.0,0.0,33.0,131.0,15.0,730.0,7.0,1067.0,4113.0,6753.0,2.0,1. MLS,2.0,14.0,5.0,us USA,4.0,90.0,83.0,137.0,10.0,76.0,55.5,0.0,-1.7,-1.6,8.6,0.12,5.0,11.7,0.0,4.0,0.0,0.0,0.0,8.0,0.0,12.0,0.49,563.0,193.0,165.0,2019_Darwin Quintero_Minnesota,11.0,55.0,7th,194.0,106.0,54.6,Matches,338.0,257.0,76.0,75.0,48.0,619.0,26.0,4.0,18.0,69.0,24.0,36.0,69.0,14.0,852.0,144.0,41.0,6.0,,,,,0.2,0.61,0.49,0.29,0.41,0.35,0.56,0.21,0.48,0.68,0.0,5.0,,,0.0,5.0,36.0,,33.0,27.0,,,10.0,11.0,,0.0,10.0,3.0,4.0,0.0,0.0,168.0,,,,26.0,,24.4,30.0,2197.0,71.8,73.0,26.0,18.8,186.0,42.0,251.0,479.0,90.0,172.0,986.0,75.1,1313.0,4.0,16.0,3.0,5.0,84.0,4.0,116.0,4.75,2019,349.0,250.0,71.6,Minnesota,19.2,6.0,0.1,0.33,10.0,3.0,4.0,72.0,2.95,21.0,29.2,0.86,10.0,80.0,26.0,28.0,4.0,0.0,14.0,4.0,18.0,36.0,26.0,-0.11,37.6,32.5,5.1,0.21,7.0,0.29,0.08,1.42,36.0,29.0,47.0,921.0,619.0,67.2,4559.0,12324.0,687.0,114.0,77.0,1.0,1258.0,679.0,1330.0,41.0,34.0,7.0,17.1,33.0,1987-09-19 00:00:00,163cm,Darwin Quintero,FW-MF (WM),65kg,5.0,0.8954423592493298,0.20491803278688525,0.6707317073170732,0.3278688524590164,0.17487266553480477,0.11304347826086956,1.0655737704918034,0.5341530054644809,0.2007042253521127,1.0245901639344264,0.31069609507640067,0.06661045531197302,0.24590163934426232,0.8503401360544217,1.6803278688524592,0.7448979591836735,1.4754098360655739,0.6520547945205479,0.30866425992779783,3.6885245901639347,0.967741935483871,0.9504201680672268,0.8747899159663866,0.8324360699865411,0.8947721179624665
85.0,25.7,0.8,60.0,26.0,30.2,33,7.0,1210.0,6.0,3.0,3.0,0.0,33.0,98.0,6.0,1036.0,17.0,915.0,2046.0,4286.0,12.0,1. MLS,28.0,48.0,12.0,us USA,5.0,29.0,25.0,34.0,2.0,25.0,73.5,0.0,-0.2,-1.1,8.1,0.1,6.2,11.2,0.0,1.0,1.0,0.0,4.0,6.0,1.0,13.0,0.51,637.0,393.0,180.0,2019_Wayne Rooney_D.C. United,5.0,74.0,10th,378.0,239.0,63.2,Matches,361.0,290.0,80.3,39.0,36.0,899.0,24.0,4.0,25.0,36.0,96.0,42.0,267.0,105.0,943.0,201.0,138.0,7.0,,,,,0.27,0.7,0.54,0.27,0.43,0.32,0.56,0.24,0.43,0.68,0.0,7.0,,,2.0,5.0,42.0,,33.0,22.0,,,11.0,5.0,,0.0,9.0,4.0,4.0,0.0,0.0,125.0,,,,6.0,,25.7,28.0,2313.0,75.6,83.0,27.0,24.7,90.0,11.0,81.0,182.0,45.0,80.0,964.0,66.7,1445.0,2.0,5.0,8.0,47.0,64.0,4.0,130.0,5.06,2019,431.0,359.0,83.3,D.C. United,22.9,29.0,0.09,0.32,11.0,4.0,4.0,80.0,3.11,22.0,27.5,0.86,18.0,84.0,27.0,42.0,1.0,0.0,2.0,2.0,6.0,10.0,6.0,0.15,28.7,35.5,-6.9,-0.27,5.0,0.19,0.32,1.45,35.0,30.0,15.0,1210.0,899.0,74.3,6327.0,20337.0,622.0,76.0,113.0,16.0,1135.0,751.0,1417.0,9.0,5.0,4.0,44.4,35.0,1985-10-24 00:00:00,176cm,Wayne Rooney,FW-MF (AM),83kg,6.2,0.8324396782841823,0.19455252918287938,0.6382113821138211,1.0116731517509727,0.5076400679117148,0.2608695652173913,0.23346303501945526,0.10109289617486339,0.7640845070422535,0.23346303501945526,0.059422750424448216,0.23946037099494097,0.27237354085603116,0.8758503401360545,5.369649805447471,0.9948979591836735,1.6342412451361867,0.684931506849315,0.7527075812274369,1.1284046692607004,0.5280135823429541,0.9647058823529412,0.8907563025210085,0.9004037685060565,0.9061662198391421
