1/3,90s,A-xA,Aerial Duels_Lost,Aerial Duels_Won,Aerial Duels_Won%,Age,Ast,Att,Blocks_Blocks,Blocks_Pass,Blocks_Sh,Blocks_ShSv,Body Parts_Head,Body Parts_Left,Body Parts_Other,Body Parts_Right,Body Parts_TI,Carries_Carries,Carries_PrgDist,Carries_TotDist,Clr,Comp,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Country,CrsPA,Dispos,Dribbles_#Pl,Dribbles_Att,Dribbles_Megs,Dribbles_Succ,Dribbles_Succ%,Err,Expected_G-xG,Expected_np:G-xG,Expected_npxG,Expected_npxG/Sh,Expected_xA,Expected_xG,GCA Types_Def,GCA Types_Drib,GCA Types_Fld,GCA Types_OG,GCA Types_PassDead,GCA Types_PassLive,GCA Types_Sh,GCA_GCA,GCA_GCA90,Height_Ground,Height_High,Height_Low,ID,Int,KP,LgRank,Long_Att,Long_Cmp,Long_Cmp%,Matches,Medium_Att,Medium_Cmp,Medium_Cmp%,Miscon,Outcomes_Blocks,Outcomes_Cmp,Outcomes_Int,Outcomes_Off,Outcomes_Out,PPA,Pass Types_CK,Pass Types_Crs,Pass Types_Dead,Pass Types_FK,Pass Types_Live,Pass Types_Press,Pass Types_Sw,Pass Types_TB,Penalty Kicks_PKA,Penalty Kicks_PKatt,Penalty Kicks_PKm,Penalty Kicks_PKsv,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G+A-PK,Per 90 Minutes_G-PK,Per 90 Minutes_Gls,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,Per 90 Minutes_xA,Per 90 Minutes_xG,Per 90 Minutes_xG+xA,Performance_2CrdY,Performance_Ast,Performance_CS,Performance_CS%,Performance_CrdR,Performance_CrdY,Performance_Crs,Performance_D,Performance_Fld,Performance_Fls,Performance_GA,Performance_GA90,Performance_Gls,Performance_Int,Performance_L,Performance_OG,Performance_Off,Performance_PK,Performance_PKatt,Performance_PKcon,Performance_PKwon,Performance_Recov,Performance_Save%,Performance_Saves,Performance_SoTA,Performance_TklW,Performance_W,Playing Time_90s,Playing Time_MP,Playing Time_Min,Playing Time_Min%,Playing Time_Mn/MP,Playing Time_Starts,Pressures_%,Pressures_Att 3rd,Pressures_Def 3rd,Pressures_Mid 3rd,Pressures_Press,Pressures_Succ,Prog,Receiving_Rec,Receiving_Rec%,Receiving_Targ,SCA Types_Def,SCA Types_Drib,SCA Types_Fld,SCA Types_PassDead,SCA Types_PassLive,SCA Types_Sh,SCA_SCA,SCA_SCA90,Season,Short_Att,Short_Cmp,Short_Cmp%,Squad,Standard_Dist,Standard_FK,Standard_G/Sh,Standard_G/SoT,Standard_Gls,Standard_PK,Standard_PKatt,Standard_Sh,Standard_Sh/90,Standard_SoT,Standard_SoT%,Standard_SoT/90,Starts_Compl,Starts_Mn/Start,Starts_Starts,Subs_Mn/Sub,Subs_Subs,Subs_unSub,Tackles_Att 3rd,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Tkl,Tackles_TklW,Team Success (xG)_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success_PPM,Team Success_onG,Team Success_onGA,Tkl+Int,Total_Att,Total_Cmp,Total_Cmp%,Total_PrgDist,Total_TotDist,Touches_Att 3rd,Touches_Att Pen,Touches_Def 3rd,Touches_Def Pen,Touches_Live,Touches_Mid 3rd,Touches_Touches,Vs Dribbles_Att,Vs Dribbles_Past,Vs Dribbles_Tkl,Vs Dribbles_Tkl%,age,birth_date,height,name,position,weight,xA
63,16.0,-0.5,13,15,53.6,25,0,686,16,10,6,0,28,199,3,434,9,543,1165,2458,20,1. MLS,0,0,0,us USA,1,7,6,11,0,6,54.5,0,-0.4,-0.4,0.4,0.06,0.5,0.4,0,0,0,0,0,0,0,0,0.00,469,120,97,2019_Caleb Stanko_FC Cincinnati,12,8,24th,129,107,82.9,Matches,278,240,86.3,17,12,587,14,1,10,5,0,5,31,21,655,104,47,0,,,,,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.03,0.02,0.05,0,0,,,0,3,5,,19,26,,,0,12,,0,0,0,0,0,0,143,,,,24,,16.0,23,1439,47.0,63,16,27.1,17,105,166,288,78,61,536,91.2,588,1,0,0,0,16,2,19,1.19,2019,269,239,88.8,FC Cincinnati,27.2,0,0.00,0.00,0,0,0,6,0.38,2,33.3,0.13,10,84,16,14,7,6,1,16,16,33,24,-0.42,14.7,30.6,-15.9,-0.99,-30,-1.88,-1.10,0.39,12,42,45,686,587,85.6,3234,12263,91,7,228,27,774,522,800,36,24,12,33.3,27,1993-07-26 00:00:00,180cm,Caleb Stanko,MF,,0.5
7,1.0,0.0,0,0,,19,0,71,2,2,0,0,0,4,0,56,11,60,205,326,0,1. MLS,0,0,0,us USA,0,1,1,2,0,1,50.0,0,0.0,0.0,0.0,0.01,0.0,0.0,0,0,0,0,0,0,0,0,0.00,48,6,17,2019_Shaft Brewer_Los Angeles FC,2,0,1st,8,7,87.5,Matches,35,33,94.3,4,2,63,1,0,0,0,0,1,13,2,58,12,2,0,,,,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.01,0,0,,,0,0,1,,1,2,,,0,2,,0,0,0,0,0,0,11,,,,0,,1.0,1,90,2.9,90,1,23.5,4,8,5,17,4,4,55,91.7,60,0,0,0,0,0,0,0,0.00,2019,26,23,88.5,Los Angeles FC,32.0,0,0.00,,0,0,0,1,1.00,0,0.0,0.00,1,90,1,,0,4,0,0,0,0,0,-1.22,0.9,0.9,0.0,+0.01,-1,-1.00,-2.48,0.00,0,1,2,71,63,88.7,396,1217,20,0,24,1,71,45,84,3,3,0,0.0,21,1999-10-28 00:00:00,,Shaft Brewer,FW,,0.0
,0.5,,,,,19,0,,,,,,,,,,,,,,,2. USL Champ,,,,us USA,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Shaft Brewer_Phx Rising,0,,1st,,,,Matches,,,,,,,,,,,,2,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,0,0,,,0,0,2,,1,0,,,0,0,,0,0,0,0,0,0,,,,,1,,0.5,1,45,1.5,45,0,,,,,,,,,,,,,,,,,,,2019,,,,Phx Rising,,,,,0,0,0,0,0.00,0,,0.00,0,,0,45,1,0,,,,,1,,,,,,+1,+2.00,+0.45,1.00,2,1,0,,,,,,,,,,,,,,,,,21,1999-10-28 00:00:00,,Shaft Brewer,FW,,
16,15.7,-1.5,27,3,10.0,24,1,300,7,5,2,0,21,54,6,213,4,331,1315,2440,0,1. MLS,0,0,0,us USA,0,19,21,34,2,19,55.9,0,+2.6,+2.6,8.4,0.13,2.5,8.4,0,0,0,0,0,1,1,2,0.13,197,50,53,2019_Brian Fernández_Portland,1,23,11th,34,21,61.8,Matches,127,105,82.7,39,7,237,6,0,3,7,0,14,24,1,276,53,4,2,,,,,0.06,0.77,0.77,0.70,0.70,0.53,0.70,0.16,0.53,0.70,0,1,,,1,4,14,,7,23,,,11,1,,0,17,0,0,0,0,52,,,,6,,15.7,19,1409,46.0,74,16,22.0,150,5,113,268,59,23,364,52.2,697,2,4,0,0,29,6,41,2.62,2019,124,102,82.3,Portland,15.5,0,0.17,0.37,11,0,0,65,4.15,30,46.2,1.92,11,83,16,25,3,0,2,1,3,6,6,+0.35,26.3,24.9,+1.4,+0.09,+9,+0.57,+0.90,1.68,26,17,7,300,237,79.0,736,4119,305,104,18,1,441,176,464,12,12,0,0.0,26,1994-09-26 00:00:00,168cm,Brian Fernández,FW-MF,72kg,2.5
23,19.7,+0.4,35,18,34.0,24,3,515,29,29,0,0,23,69,2,377,33,602,3494,5924,20,1. MLS,0,1,0,us USA,8,40,46,73,0,44,60.3,0,-1.8,-1.8,3.8,0.08,2.6,3.8,0,0,0,0,0,5,1,6,0.31,279,125,111,2019_Sam Nicholson_Colorado,14,23,16th,61,26,42.6,Matches,180,129,71.7,45,41,356,13,2,13,18,1,62,38,3,477,103,16,2,,,,,0.15,0.25,0.25,0.10,0.10,0.19,0.33,0.13,0.19,0.33,0,3,,,0,2,62,,51,29,,,2,14,,0,7,0,0,0,2,105,,,,13,,19.7,27,1770,57.8,66,19,21.2,104,111,157,372,79,35,553,68.4,809,1,8,9,1,32,3,54,2.75,2019,243,194,79.8,Colorado,19.7,0,0.04,0.13,2,0,0,45,2.29,15,33.3,0.76,12,84,19,23,8,0,3,12,7,22,13,+0.43,32.6,32.4,+0.2,+0.01,+3,+0.15,+0.71,1.30,34,31,36,515,356,69.1,1753,5681,428,68,124,21,752,316,787,34,30,4,11.8,25,1995-01-20 00:00:00,175cm,Sam Nicholson,FW-MF (WM),,2.6
54,24.0,-0.1,26,36,58.1,26,0,1358,33,26,7,1,38,1062,4,220,20,1066,2850,5412,133,1. MLS,0,0,0,us USA,0,8,4,5,0,4,80.0,0,-0.8,-0.8,0.8,0.05,0.1,0.8,0,0,0,0,0,0,0,0,0.00,1045,205,108,2019_Alexander Callens_NYCFC,22,2,2nd,285,198,69.5,Matches,612,560,91.5,5,22,1174,8,5,24,0,1,3,70,49,1288,136,35,0,,,,,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.01,0.03,0.04,0,0,,,0,3,3,,31,25,,,0,22,,0,1,0,0,2,0,238,,,,32,,24.0,24,2160,70.6,90,24,36.2,11,175,82,268,97,54,1065,98.2,1085,1,1,0,0,8,3,13,0.57,2019,434,406,93.5,NYCFC,16.7,1,0.00,0.00,0,0,0,16,0.67,1,6.3,0.04,24,90,24,,0,0,0,43,13,56,32,-0.30,34.7,31.8,+2.9,+0.13,+12,+0.50,-0.40,1.84,40,28,78,1358,1174,86.5,9427,24298,79,20,989,172,1568,669,1630,44,19,25,56.8,28,1992-05-04 00:00:00,186cm,Alexander Callens,"DF (CB, left)",76kg,0.1
132,31.1,-0.6,48,11,18.6,28,7,1799,26,23,3,0,39,1377,12,331,31,1591,4644,9468,26,1. MLS,20,30,10,us USA,15,36,29,45,1,28,62.2,1,+0.3,+0.1,4.9,0.06,7.6,5.7,0,0,0,0,0,13,1,14,0.45,1251,299,249,2019_Magnus Eriksson_San Jose,18,94,15th,345,205,59.4,Matches,653,533,81.6,59,53,1410,34,8,39,74,93,90,191,58,1608,296,81,15,,,,,0.22,0.42,0.39,0.16,0.19,0.16,0.40,0.24,0.18,0.43,0,7,,,0,5,90,,68,35,,,6,18,,0,3,1,1,0,0,229,,,,17,,31.1,32,2802,91.6,88,32,27.0,125,55,246,426,115,187,1605,83.9,1913,3,8,3,31,128,9,182,5.85,2019,734,646,88.0,San Jose,21.6,6,0.06,0.24,6,1,1,86,2.76,21,24.4,0.67,27,88,32,,0,1,8,7,12,27,17,-0.18,46.7,42.8,+3.9,+0.13,0,0.00,+1.05,1.34,50,50,45,1799,1410,78.4,7347,26150,1067,109,182,35,1953,1044,2137,46,37,9,19.6,30,1990-04-08 00:00:00,180cm,Magnus Eriksson,FW-MF,80kg,7.6
17,5.6,0.7,6,7,53.8,21,1,230,1,1,0,0,8,49,1,133,32,167,563,917,12,1. MLS,0,0,0,us USA,0,3,3,4,0,3,75.0,0,0.0,0.0,0.0,0.03,0.3,0.0,0,0,0,0,0,1,0,1,0.21,124,75,31,2019_Jeremiah Gutjahr_Chicago,4,4,17th,46,17,37.0,Matches,87,70,80.5,1,8,167,3,2,6,2,0,7,32,0,198,42,2,2,,,,,0.18,0.18,0.18,0.0,0.0,0.01,0.08,0.07,0.01,0.08,0,1.0,,,0,1,7,,5,3,,,0.0,4,,0,0,0.0,0.0,0,0,36,,,,6,,5.6,8,503.0,16.4,63.0,5,36.4,10,31,25,66,24,21,165,93.2,177,0,0,0,1,5,0,6,1.24,2019,90,79,87.8,Chicago,29.4,0,0.0,,0,0,0,1,0.18,0,0.0,0.0,4,86.0,5,24.0,3,11,1,0,4,5,6,0.9,9.4,4.5,4.9,1.02,2.0,0.36,0.15,1.5,9.0,7.0,9,230,167,72.6,1197,2949,81,6,68,12,229,130,261,8,6,2,25.0,23,1997-08-10 00:00:00,177cm,Jeremiah Gutjahr,MF,73kg,0.3
,4.3,,,,,22,0,,,,,,,,,,,,,,,2. USL Champ,,,,us USA,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Tristan Blackmon_Phx Rising,8,,1st,,,,Matches,,,,,,,,,,,,4,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,0,0,,,0,1,4,,2,1,,,0,8,,0,1,0,0,0,0,,,,,2,,4.3,5,391,12.8,78,4,,,,,,,,,,,,,,,,,,,2019,,,,Phx Rising,,,0.00,,0,0,0,1,0.23,0,0.0,0.00,4,90,4,30,1,0,,,,,2,,,,,,-1,-0.23,-2.05,1.20,5,6,0,,,,,,,,,,,,,,,,,24,1996-08-12 00:00:00,,Tristan Blackmon,DF,,
86,15.3,+2.3,19,28,59.6,22,4,1000,27,17,10,1,28,197,3,707,51,759,2089,3463,64,1. MLS,0,0,0,us USA,1,6,16,23,0,15,65.2,0,+0.3,+0.3,0.7,0.08,1.7,0.7,0,0,0,0,0,5,0,5,0.33,766,81,153,2019_Tristan Blackmon_Los Angeles FC,19,14,1st,115,83,72.2,Matches,493,461,93.5,9,19,892,13,1,13,8,1,14,75,23,925,115,14,1,,,,,0.26,0.33,0.33,0.07,0.07,0.05,0.16,0.11,0.05,0.16,0,4,,,0,3,14,,5,8,,,1,19,,0,0,0,0,0,0,190,,,,19,,15.3,18,1378,45.0,77,15,38.8,21,74,52,147,57,82,753,97.7,771,2,1,1,1,22,2,29,1.89,2019,368,338,91.8,Los Angeles FC,15.3,0,0.11,0.50,1,0,0,9,0.59,2,22.2,0.13,13,86,15,31,3,3,7,10,9,26,19,-0.79,33.3,21.5,+11.8,+0.77,+23,+1.50,+0.16,1.90,44,21,45,1000,892,89.2,6586,16508,215,29,441,81,1084,574,1157,19,11,8,42.1,24,1996-08-12 00:00:00,,Tristan Blackmon,DF,,1.7
